ticker,open,close,adj_close,low,high,volume,date
AHH,11.5,11.57999992,8.493154526,11.25,11.68000031,4633900,8/05/2013
AHH,11.65999985,11.55000019,8.471151352,11.5,11.65999985,275800,9/05/2013
AHH,11.55000019,11.60000038,8.507822037,11.5,11.60000038,277100,10/05/2013
AHH,11.63000011,11.64999962,8.544493675,11.55000019,11.64999962,147400,13/05/2013
AHH,11.60000038,11.52999973,8.456483841,11.5,11.60000038,184100,14/05/2013
AHH,11.60000038,11.60000038,8.507822037,11.53999996,11.60000038,76800,15/05/2013
AHH,11.61999989,11.73999977,8.610501289,11.53999996,11.73999977,170300,16/05/2013
AHH,11.69999981,11.76000023,8.625171661,11.69999981,11.85000038,305400,17/05/2013
AHH,11.76000023,11.72999954,8.603169441,11.63000011,11.82999992,46800,20/05/2013
AHH,11.76000023,11.82999992,8.676511765,11.60999966,11.84000015,77000,21/05/2013
AHH,11.84000015,11.75,8.617839813,11.68000031,11.84000015,90200,22/05/2013
AHH,11.64000034,11.60999966,8.515155792,11.53999996,11.78999996,75400,23/05/2013
AHH,11.56999969,11.69999981,8.581166267,11.55000019,11.72999954,63400,24/05/2013
AHH,11.72999954,11.57999992,8.493154526,11.56999969,11.77999973,212400,28/05/2013
AHH,11.51000023,11.25,8.251120567,11.19999981,11.67000008,447000,29/05/2013
AHH,11.57999992,11.55000019,8.471151352,11.47000027,11.64999962,453300,30/05/2013
AHH,11.60000038,11.47000027,8.412475586,11.47000027,11.80000019,109400,31/05/2013
AHH,11.68000031,11.52000046,8.449149132,11.30000019,11.68000031,143200,3/06/2013
AHH,11.56000042,11.51000023,8.441815376,11.46000004,11.63000011,115000,4/06/2013
AHH,11.57999992,11.55000019,8.471151352,11.25,11.59000015,78100,5/06/2013
AHH,11.51000023,11.61999989,8.522490501,11.5,11.69999981,121700,6/06/2013
AHH,11.67000008,11.60000038,8.507822037,11.52000046,11.68000031,52300,7/06/2013
AHH,11.60000038,11.64999962,8.544493675,11.5,11.67000008,167200,10/06/2013
AHH,11.56000042,11.56000042,8.478486061,11.35000038,11.60000038,117500,11/06/2013
AHH,11.55000019,11.48999977,8.427145004,11.44999981,11.56000042,162100,12/06/2013
AHH,11.47999954,11.48999977,8.427145004,11.30000019,11.55000019,63600,13/06/2013
AHH,11.48999977,11.44999981,8.397809029,11.30000019,11.48999977,73100,14/06/2013
AHH,11.47999954,11.55000019,8.471151352,11.39999962,11.64999962,73300,17/06/2013
AHH,11.55000019,11.51000023,8.441815376,11.39000034,11.60000038,149700,18/06/2013
AHH,11.47999954,11.30000019,8.287795067,11.22000027,11.47999954,80300,19/06/2013
AHH,11.25,11.13000011,8.163106918,11.13000011,11.30000019,203100,20/06/2013
AHH,11.17000008,11.27000046,8.265791893,11.11999989,11.27000046,287900,21/06/2013
AHH,11.19999981,11.22000027,8.229120255,10.69999981,11.28999996,151500,24/06/2013
AHH,11.27999973,11.38000011,8.346467018,10.97999954,11.39999962,95600,25/06/2013
AHH,11.43999958,11.38000011,8.346467018,10.89999962,11.46000004,173900,26/06/2013
AHH,11.32999992,11.46000004,8.464647293,11.19999981,11.53999996,153300,27/06/2013
AHH,11.43000031,11.77999973,8.701006889,11.36999989,11.77999973,1659800,28/06/2013
AHH,11.73999977,11.67000008,8.619758606,11.40999985,11.84000015,103800,1/07/2013
AHH,11.69999981,11.71000004,8.64930439,11.44999981,11.80000019,98600,2/07/2013
AHH,11.68999958,11.73999977,8.671463013,11.57999992,11.75,45100,3/07/2013
AHH,11.84000015,11.81999969,8.730552673,11.5,11.84000015,89700,5/07/2013
AHH,11.75,11.47000027,8.472032547,11.35000038,11.75,170100,8/07/2013
AHH,11.52000046,11.18999958,8.265218735,11.10000038,11.52999973,242600,9/07/2013
AHH,11.14999962,11.02999973,8.147037506,10.55000019,11.14999962,206800,10/07/2013
AHH,11.11999989,11.14000034,8.228285789,10.98999977,11.15999985,189100,11/07/2013
AHH,11.10000038,11.14000034,8.228285789,11.05000019,11.15999985,165000,12/07/2013
AHH,11.11999989,11.10999966,8.20612812,10.92000008,11.18999958,164900,15/07/2013
